path	branch	head	dirty_entries	ignored_evidence_files	node_modules	node_modules_kind	node_modules_target	dist_dirs	has_public	has_artifacts	has_test_results	merged_into_ship	structural_size_class
C:/Users/david/projects/aa-claude-wprep	contrib/dave-gaming-pc/claude/hf410-integration-prep	21730228	3	277	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	3	yes	yes	no	no	A_installed_multidist
C:/Users/david/projects/aa-claude-xbrowser	contrib/dave-gaming-pc/claude/hf404-cross-browser-smooth	860019c8	0	138	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-critic-hijacked	(detached)	0dc1099c	2	1	yes	link	/c/Users/david/projects/atomic-acres-gauntlet/node_modules	36	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/aa-farcrysis-load	contrib/dave-gaming-pc/claude/farcrysis-playable-preview	4331ae0f	2	156	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-gemini-audit	(detached)	75a4e508	1	58	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	0	yes	yes	no	yes	C_installed_nodist
C:/Users/david/projects/aa-lane-ballistics	lane/aa-lane-ballistics-20260828	1d37e17f	0	5	yes	real	-	0	yes	yes	no	yes	C_installed_nodist
C:/Users/david/projects/aa-lane-grassmtn	lane/aa-lane-grassmtn-20260828	cee9230a	0	20	yes	real	-	2	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/aa-map3	contrib/dave-gaming-pc/claude/map3-demo-showcase	cfce66a5	3	545	yes	link	/c/Users/david/projects/atomic-acres-gauntlet/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-map3-laneV-verify	(detached)	cfce66a5	0	127	yes	link	/c/Users/david/projects/aa-map3/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-omp-pass82	contrib/dave-gaming-pc/omp/pass82-freeze-fixes	db969405	0	10	yes	real	-	2	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/aa-omp-pass82/.gh-pages-publish	(detached)	302c1f45	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/aa-omp-pass83	contrib/dave-gaming-pc/omp/pass83-lobby-identity	e046c130	0	12	yes	real	-	2	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/aa-omp-pass83/.gh-pages-publish	(detached)	718a5295	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/aa-omp-pass84	contrib/dave-gaming-pc/omp/pass84-overnight	c75c452f	0	172	yes	real	-	3	yes	yes	no	no	A_installed_multidist
C:/Users/david/projects/aa-omp-pass84/.gh-pages-publish	(detached)	ef6b6447	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/aa-pass80-hotfix	hotfix/pass80-hide-farcrysis	e7317146	0	11	yes	link	/c/Users/david/projects/atomic-acres-gauntlet/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-pass80-hotfix/.gh-pages-publish	(detached)	ed5bef6c	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/aa-tint-bisect	(detached)	506d6142	0	0	yes	link	/c/Users/david/projects/atomic-acres-gauntlet/node_modules	0	yes	no	no	yes	C_installed_nodist
C:/Users/david/projects/atomic-acres-aesthetic-overhaul-20260722	codex/atomic-acres-aesthetic-overhaul-20260722	018ca5b2	0	1	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-audit-6b0495d-20260722	(detached)	6b0495da	0	0	yes	real	-	1	yes	no	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-ci-evidence-timeouts-20260722	desky/ci-evidence-timeouts-20260722	ece5d639	1	7	yes	real	-	1	yes	yes	yes	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-ci-hardening-20260722	contrib/dave-gaming-pc/codex/ci-release-pipeline	044d61d1	0	11	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-codex-multiplayer-20260722	codex/multiplayer-refinement-20260722	b09ad068	0	10	yes	real	-	1	yes	yes	yes	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-codex-player-feedback-20260722	contrib/dave-gaming-pc/codex/player-feedback-20260722	d5d856c0	0	21	yes	link	/c/Users/david/projects/atomic-acres-browser-arena/node_modules	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-desky-backlog-86dc167	desky/atomic-acres-backlog-86dc167	305e8fe2	0	14	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-final-publish-45a6a37	(detached)	45a6a373	0	0	yes	real	-	1	yes	no	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-gauntlet	gauntlet/pass79-omp-20260823	b138b9c0	0	30591	yes	real	-	64	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/atomic-acres-gauntlet/.gauntlet-tmp/hf387-prefix-wt	(detached)	eafdf371	0	1	no	-	-	7	yes	yes	no	yes	D_noinstall_dist
C:/Users/david/projects/atomic-acres-gauntlet/.gauntlet-tmp/wt-head	(detached)	44152b86	3	1	yes	real	-	36	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/atomic-acres-gauntlet/.gh-pages-publish	(detached)	2c2f4ede	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/atomic-acres-gemini-workhorse-20260722	desky/gemini-workhorse-pass56-20260722	7958c9f1	0	0	no	-	-	0	yes	no	no	yes	D_noinstall_dist
C:/Users/david/projects/atomic-acres-gh-pages-45a6a37	desky/final-publish-45a6a37	334e12e4	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/atomic-acres-gh-pages-v68-live	desky/gh-pages-v68-live	d52a7d0e	0	0	no	-	-	0	no	no	no	no	E_noinstall_nodist
C:/Users/david/projects/atomic-acres-highseas	integration/pass74-plus-high-seas-20260822	ad30b2e2	1	2611	yes	link	/c/Users/david/projects/atomic-acres-pass74/node_modules	4	yes	yes	no	no	A_installed_multidist
C:/Users/david/projects/atomic-acres-main-ci-hotfix-20260722	agent/main-ci-hotfix-20260722	fadf0e8b	0	0	yes	real	-	1	yes	no	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass59-20260723	contrib/dave-gaming-pc/hermes/pass59-network-gameplay-maps-ui	8a4b674e	0	32	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass59-ci-fix-20260723	contrib/dave-gaming-pc/hermes/pass59-ci-determinism	72ab2684	0	10	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass59-favicon-20260723	contrib/dave-gaming-pc/hermes/pass59-favicon-console-hygiene	d8af62db	0	2	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass59-menu-baseline-20260723	contrib/dave-gaming-pc/hermes/pass59-menu-baseline-normalization	ad3a67d3	0	4	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass59-release-metadata-20260723	contrib/dave-gaming-pc/hermes/pass59-release-metadata	ed9e126d	0	14	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass60-acres-ui-uav-20260723	agent/pass60-acres-ui-uav-20260723	0fb1aafd	0	15	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass60-feedback-20260723	contrib/dave-gaming-pc/codex/pass60-feedback	dbe8ed56	0	56	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass60-release-metadata-20260723	contrib/dave-gaming-pc/codex/pass60-release-metadata	fd8cef33	0	34	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass60-rustworks-20260723	agent/pass60-rustworks-20260723	ca205f8f	0	12	yes	link	/c/Users/david/projects/atomic-acres-pass60-feedback-20260723/node_modules	1	yes	yes	yes	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass60-terminal-20260723	contrib/dave-gaming-pc/codex/pass60-terminal-overhaul	721afd43	0	16	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass61-experimental-netcode-20260724	contrib/dave-gaming-pc/codex/pass61-release-browser-prereq	e0e977d5	0	41	yes	real	-	1	yes	yes	yes	yes	B_installed_onedist
C:/Users/david/projects/atomic-acres-pass61-lighting-reference-20260724	(detached)	11f6141a	0	0	yes	real	-	0	yes	no	no	yes	C_installed_nodist
